iter	Passed	Remaining
1123	24687	19240
1124	24711	19220
1125	24736	19200
1126	24762	19181
1127	24788	19163
1128	24810	19141
1129	24832	19118
1130	24854	19096
1131	24876	19074
1132	24898	19052
1133	24921	19031
1134	24943	19009
1135	24965	18988
1136	24992	18969
1137	25014	18948
1138	25038	18927
1139	25061	18906
1140	25083	18883
1141	25105	18862
1142	25128	18841
1143	25150	18819
1144	25172	18796
1145	25194	18774
1146	25217	18753
1147	25245	18736
1148	25270	18716
1149	25292	18694
1150	25314	18672
1151	25339	18653
1152	25363	18632
1153	25389	18613
1154	25413	18592
1155	25438	18572
1156	25461	18551
1157	25486	18531
1158	25510	18511
1159	25536	18491
1160	25559	18470
1161	25582	18449
1162	25604	18427
1163	25627	18406
1164	25651	18385
1165	25675	18364
1166	25697	18342
1167	25723	18323
1168	25746	18301
1169	25769	18280
1170	25791	18259
1171	25815	18238
1172	25837	18216
1173	25859	18194
1174	25882	18173
1175	25904	18151
1176	25925	18128
1177	25949	18107
1178	25971	18085
1179	25996	18065
1180	26017	18042
1181	26039	18020
1182	26060	17997
1183	26084	17977
1184	26107	17955
1185	26131	17934
1186	26153	17913
1187	26174	17890
1188	26198	17869
1189	26220	17847
1190	26242	17825
1191	26263	17802
1192	26286	17781
1193	26308	17759
1194	26334	17740
1195	26357	17718
1196	26379	17696
1197	26401	17674
1198	26423	17652
1199	26445	17630
1200	26466	17607
1201	26487	17585
1202	26509	17562
1203	26531	17540
1204	26552	17518
1205	26575	17496
1206	26597	17474
1207	26621	17454
1208	26643	17431
1209	26665	17409
1210	26685	17386
1211	26708	17365
1212	26731	17343
1213	26754	17322
1214	26776	17299
1215	26797	17277
1216	26820	17255
1217	26842	17233
1218	26863	17211
1219	26889	17191
1220	26913	17171
1221	26939	17151
1222	26961	17129
1223	26985	17108
1224	27008	17086
1225	27033	17066
1226	27056	17045
1227	27079	17023
1228	27104	17003
1229	27127	16982
1230	27150	16960
1231	27174	16940
1232	27197	16918
1233	27221	16897
1234	27243	16875
1235	27265	16853
1236	27288	16831
1237	27311	16810
1238	27335	16789
1239	27358	16767
1240	27379	16745
1241	27403	16724
1242	27426	16702
1243	27450	16681
1244	27473	16660
1245	27496	16638
1246	27519	16617
1247	27542	16595
1248	27564	16573
1249	27585	16551
1250	27607	16529
1251	27630	16507
1252	27652	16485
1253	27673	16462
1254	27694	16440
1255	27720	16420
1256	27742	16398
1257	27765	16376
1258	27787	16354
1259	27808	16331
1260	27830	16309
1261	27851	16287
1262	27873	16264
1263	27896	16243
1264	27919	16221
1265	27940	16199
1266	27963	16177
1267	27985	16155
1268	28007	16133
1269	28031	16112
1270	28053	16090
1271	28074	16067
1272	28097	16046
1273	28119	16024
1274	28152	16008
1275	28175	15986
1276	28198	15964
1277	28220	15943
1278	28244	15922
1279	28267	15900
1280	28290	15878
1281	28314	15857
1282	28347	15841
1283	28381	15826
1284	28403	15804
1285	28427	15783
1286	28450	15761
1287	28471	15739
1288	28495	15717
1289	28519	15696
1290	28543	15675
1291	28565	15653
1292	28587	15631
1293	28613	15611
1294	28636	15589
1295	28659	15567
1296	28680	15545
1297	28703	15523
1298	28725	15501
1299	28749	15480
1300	28772	15458
1301	28795	15437
1302	28816	15414
1303	28839	15392
1304	28861	15370
1305	28883	15348
1306	28905	15326
1307	28927	15304
1308	28949	15282
1309	28973	15260
1310	28997	15239
1311	29021	15218
1312	29049	15199
1313	29074	15179
1314	29098	15157
1315	29125	15137
1316	29149	15116
1317	29172	15095
1318	29200	15075
1319	29226	15056
1320	29252	15035
1321	29276	15014
1322	29304	14995
1323	29358	14989
1324	29386	14970
1325	29412	14950
1326	29436	14928
1327	29462	14908
1328	29486	14887
1329	29511	14866
1330	29534	14844
1331	29558	14823
1332	29580	14801
1333	29604	14780
1334	29625	14757
1335	29648	14735
1336	29670	14713
1337	29692	14691
1338	29715	14669
1339	29739	14647
1340	29762	14625
1341	29786	14604
1342	29808	14582
1343	29830	14559
1344	29852	14537
1345	29874	14515
1346	29895	14492
1347	29917	14470
1348	29939	14448
1349	29962	14426
1350	29986	14404
1351	30008	14382
1352	30033	14361
1353	30056	14340
1354	30080	14318
1355	30103	14296
1356	30124	14274
1357	30146	14251
1358	30168	14229
1359	30194	14209
1360	30217	14187
1361	30238	14164
1362	30261	14142
1363	30283	14120
1364	30306	14098
1365	30329	14076
1366	30352	14054
1367	30372	14031
1368	30396	14010
1369	30418	13987
1370	30441	13966
1371	30463	13943
1372	30485	13921
1373	30508	13899
1374	30530	13877
1375	30553	13855
1376	30575	13833
1377	30598	13811
1378	30620	13789
1379	30645	13768
1380	30665	13745
1381	30688	13723
1382	30710	13700
1383	30732	13678
1384	30754	13656
1385	30778	13634
1386	30799	13612
1387	30820	13589
1388	30841	13566
1389	30863	13544
1390	30884	13521
1391	30906	13499
1392	30928	13477
1393	30949	13454
1394	30973	13433
1395	30996	13411
1396	31018	13388
1397	31039	13366
1398	31061	13343
1399	31083	13321
1400	31107	13299
1401	31128	13277
1402	31150	13254
1403	31171	13232
1404	31194	13210
1405	31215	13187
1406	31237	13165
1407	31259	13143
1408	31281	13120
1409	31305	13099
1410	31326	13076
1411	31349	13054
1412	31370	13032
1413	31393	13010
1414	31414	12987
1415	31437	12965
